Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,00:01,09h 01m,620.0,10 Seats available,4.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,640.0,9 Seats available,3.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,640.0,8 Seats available,3.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,640.0,28 Seats available,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,04:25,08h 25m,473.0,15 Seats available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,640.0,23 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:31,06:36,09h 05m,640.0,6 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,07:36,09h 24m,640.0,8 Seats available,4.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,07:35,09h 03m,627.0,1 Seat available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,09:30,10h 30m,469.0,1 Seat available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,06:10,08h 10m,649.0,31 Seats available,4.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,700.0,21 Seats available,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
SAAM BUS,VE A/C Sleeper (2+1),20:10,06:45,10h 35m,850.0,20 Seats available,4.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
AdSam Tourist,NON AC Seater / Sleeper 2+1,22:05,07:05,09h 00m,599.0,34 Seats available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,NON A/C Sleeper (2+1),21:45,06:10,08h 25m,900.0,15 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 2818,Super Fast Non AC Seater (2+3),15:00,20:30,05h 30m,269.0,49 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,21:05,05h 40m,261.0,40 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),15:40,21:15,05h 35m,269.0,49 Seats available,1.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),18:00,04:00,10h 00m,513.0,28 Seats available,3.9,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:00,03:35,08h 35m,688.0,11 Seats available,3.5,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),20:02,05:21,09h 19m,640.0,20 Seats available,3.3,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,06:00,09h 00m,620.0,3 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 1997,Swift Deluxe Non AC Air Bus (2+2),15:25,19:50,04h 25m,278.0,7 Seats available,3.5,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 765,Super Fast Non AC Seater (2+3),16:30,22:20,05h 50m,269.0,48 Seats available,2.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 2819,Super Fast Non AC Seater (2+3),16:55,22:15,05h 20m,269.0,45 Seats available,2.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 897,Super Fast Non AC Seater (2+3),15:01,21:30,06h 29m,273.0,37 Seats available,3.6,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 708,Super Fast Non AC Seater (2+3),16:01,21:35,05h 34m,285.0,40 Seats available,4.1,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 898,Super Fast Non AC Seater (2+3),16:30,22:15,05h 45m,273.0,38 Seats available,4.4,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 2391,Low Floor AC Seater 2+2,15:30,01:50,10h 20m,723.0,18 Seats available,2.9,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 1883,Low Floor AC Seater 2+2,16:30,02:50,10h 20m,742.0,18 Seats available,2.9,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 323,,17:25,03:55,10h 30m,515.0,,2.9,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,22:31,06h 29m,475.0,15 Seats available,1.6,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala)
KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,23:30,07h 14m,548.0,10 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala)
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,00:10,07h 25m,548.0,13 Seats available,3.7,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala)
KSRTC (Kerala) - 1193,Super Fast Non AC Seater (2+3),15:45,21:35,05h 50m,285.0,44 Seats available,4.6,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
KSRTC (Kerala) - 712,Super Fast Non AC Seater (2+3),16:45,22:30,05h 45m,285.0,45 Seats available,3.4,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
KSRTC (Kerala) - 798,Super Fast Non AC Seater (2+3),17:00,23:00,06h 00m,285.0,42 Seats available,4.0,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),15:32,22:32,07h 00m,348.0,36 Seats available,3.8,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),20:00,04:00,08h 00m,426.0,30 Seats available,2.2,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,20:35,03:35,07h 00m,586.0,13 Seats available,3.4,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),21:57,05:21,07h 24m,548.0,21 Seats available,4.4,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
KSRTC (Kerala) - 993,Super Fast Non AC Seater (2+3),14:50,19:00,04h 10m,174.0,43 Seats available,3.2,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Kozhikode to Thrissur
KSRTC (Kerala) - 2818,Super Fast Non AC Seater (2+3),15:00,18:30,03h 30m,181.0,50 Seats available,3.2,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Kozhikode to Thrissur
KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,19:00,03h 35m,174.0,39 Seats available,3.2,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Kozhikode to Thrissur
KSRTC (Kerala) - 2388,Low Floor AC Seater 2+2,15:00,01:30,10h 30m,723.0,29 Seats available,2.9,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Thiruvananthapuram to Kozhikode
KSRTC (Kerala) - 1106,SWIFT-HYBRID NON AC SEATER CUM SLEEPER,15:30,02:50,11h 20m,565.0,17 Seats available,2.9,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Thiruvananthapuram to Kozhikode
KSRTC (Kerala) - 486,Super Express Non AC Seater Air Bus (2+2),15:45,00:30,08h 45m,586.0,28 Seats available,3.5,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Thiruvananthapuram to Kozhikode
KSRTC (Kerala) - 136,Swift Deluxe Non AC Air Bus (2+2),20:30,04:25,07h 55m,568.0,6 Seats available,3.3,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
KSRTC (Kerala) - 101,Swift Deluxe Non AC Air Bus (2+2),21:16,04:05,06h 49m,548.0,14 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
KSRTC (Kerala) - 98,Swift Deluxe Non AC Air Bus (2+2),21:30,05:45,08h 15m,579.0,12 Seats available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
KSRTC (Kerala) - 1767,,23:01,06:46,07h 45m,568.0,,3.5,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
KSRTC (Kerala) - 2391,Low Floor AC Seater 2+2,15:30,22:30,07h 00m,475.0,21 Seats available,2.7,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Kozhikode to Kottayam
KSRTC (Kerala) - 2568,Super Fast Non AC Seater (2+3),15:30,22:45,07h 15m,332.0,48 Seats available,2.7,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Kozhikode to Kottayam
KSRTC (Kerala) - 758,Super Fast Non AC Seater (2+3),15:45,22:45,07h 00m,332.0,47 Seats available,2.7,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Kozhikode to Kottayam
KSRTC (Kerala) - 100,Swift Deluxe Non AC Air Bus (2+2),19:03,02:21,07h 18m,548.0,29 Seats available,4.6,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 1766,Super Express Non AC Seater Air Bus (2+2),20:16,04:41,08h 25m,568.0,33 Seats available,4.2,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 133,Swift Deluxe Non AC Air Bus (2+2),21:00,05:15,08h 15m,568.0,19 Seats available,4.1,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 99,,21:30,06:00,08h 30m,579.0,13 Seats available,4.2,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 1902,Super Fast Non AC Seater (2+3),15:45,23:00,07h 15m,332.0,42 Seats available,4.9,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Kottayam to Kozhikode
KSRTC (Kerala) - 1962,Super Fast Non AC Seater (2+3),17:00,23:59,06h 59m,332.0,44 Seats available,3.3,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Kottayam to Kozhikode
KSRTC (Kerala) - 542,Super Express Non AC Seater Air Bus (2+2),17:30,01:00,07h 30m,386.0,39 Seats available,3.3,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Kottayam to Kozhikode
KSRTC (Kerala) - 2819,Super Fast Non AC Seater (2+3),18:45,22:15,03h 30m,181.0,45 Seats available,2.9,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Thrissur to Kozhikode
KSRTC (Kerala) - 765,Super Fast Non AC Seater (2+3),19:00,22:20,03h 20m,181.0,48 Seats available,2.9,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Thrissur to Kozhikode
KSRTC (Kerala) - 74,Swift Deluxe Non AC Air Bus (2+2),19:05,21:55,02h 50m,216.0,41 Seats available,2.9,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Thrissur to Kozhikode
KSRTC (Kerala) - 723,Super Fast Non AC Seater (2+3),19:15,22:45,03h 30m,181.0,50 Seats available,2.9,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Thrissur to Kozhikode
KSRTC (Kerala) - 897,Super Fast Non AC Seater (2+3),15:01,17:11,02h 10m,108.0,40 Seats available,4.1,https://www.redbus.in/bus-tickets/kozhikode-to-kalpetta,Kozhikode to Kalpetta (kerala)
KSRTC (Kerala) - 708,Super Fast Non AC Seater (2+3),16:01,17:50,01h 49m,111.0,47 Seats available,4.1,https://www.redbus.in/bus-tickets/kozhikode-to-kalpetta,Kozhikode to Kalpetta (kerala)
KSRTC (Kerala) - 1989,Super Fast Non AC Seater (2+3),16:25,18:35,02h 10m,111.0,50 Seats available,4.1,https://www.redbus.in/bus-tickets/kozhikode-to-kalpetta,Kozhikode to Kalpetta (kerala)
KSRTC (Kerala) - 323,Super Fast Non AC Seater (2+3),15:30,17:25,01h 55m,111.0,39 Seats available,2.4,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode,Kalpetta (kerala) to Kozhikode
KSRTC (Kerala) - 1164,Super Fast Non AC Seater (2+3),16:05,18:35,02h 30m,108.0,43 Seats available,4.2,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode,Kalpetta (kerala) to Kozhikode
KSRTC (Kerala) - 48,Swift Deluxe Non AC Air Bus (2+2),17:10,19:00,01h 50m,145.0,21 Seats available,3.8,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode,Kalpetta (kerala) to Kozhikode
APSRTC - 2541,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,20:00,04h 30m,281.0,34 Seats available,3.5,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 23532,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:00,20:35,04h 35m,281.0,31 Seats available,4.2,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 2201,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,21:00,04h 30m,281.0,34 Seats available,2.1,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 3353,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:40,20:20,03h 40m,281.0,33 Seats available,3.2,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 2542,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:00,21:35,04h 35m,281.0,34 Seats available,3.6,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 3437,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:15,20:55,03h 40m,281.0,34 Seats available,3.1,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 2215,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,22:05,04h 35m,281.0,34 Seats available,2.4,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 3715,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,22:40,05h 10m,281.0,30 Seats available,3.7,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 2818,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:00,21:40,03h 40m,281.0,34 Seats available,2.5,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 2834,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:15,22:15,04h 00m,281.0,34 Seats available,1.9,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 2668,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,22:10,03h 40m,281.0,34 Seats available,2.7,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 3713,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,23:59,04h 59m,281.0,33 Seats available,3.5,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 2820,INDRA(A.C. Seater),19:15,22:55,03h 40m,340.0,32 Seats available,2.9,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 2579,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:40,00:15,04h 35m,281.0,34 Seats available,3.7,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 4863,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:45,23:55,04h 10m,281.0,34 Seats available,2.9,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
Sri Tulasi Tours and Travels,Non A/C Seater / Sleeper (2+1),22:00,01:30,03h 30m,549.0,25 Seats available,3.4,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:40,02:30,03h 50m,545.0,28 Seats available,4.4,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
Navayuga Travels,A/C Sleeper (2+1),22:00,02:10,04h 10m,790.0,22 Seats available,3.5,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
Morning Star Travels,A/C Sleeper (2+1),21:10,02:25,05h 15m,790.0,21 Seats available,2.6,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
APSRTC - 9047,Express(Non AC Seater),15:30,18:55,03h 25m,186.0,43 Seats available,3.8,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 47236,Express(Non AC Seater),16:15,20:20,04h 05m,186.0,45 Seats available,4.4,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9011,Express(Non AC Seater),16:30,20:15,03h 45m,186.0,39 Seats available,4.0,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9049,Express(Non AC Seater),17:15,20:40,03h 25m,186.0,35 Seats available,3.9,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9888,Express(Non AC Seater),18:45,22:50,04h 05m,186.0,47 Seats available,3.7,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9003,Express(Non AC Seater),20:00,00:25,04h 25m,186.0,46 Seats available,4.7,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9041,Express(Non AC Seater),21:00,01:25,04h 25m,186.0,47 Seats available,3.6,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9061,Express(Non AC Seater),21:45,01:10,03h 25m,186.0,35 Seats available,3.8,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 5524,Express(Non AC Seater),22:45,02:55,04h 10m,186.0,45 Seats available,4.0,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9080,Express(Non AC Seater),23:15,02:40,03h 25m,186.0,45 Seats available,4.2,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 5528,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:59,05:15,05h 16m,304.0,28 Seats available,4.4,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
NueGo,Electric A/C Seater (2+2),14:25,18:45,04h 20m,314.0,2 Seats available,3.3,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
NueGo,Electric A/C Seater (2+2),16:30,21:45,05h 15m,380.0,4 Seats available,3.8,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
NueGo,Electric A/C Seater (2+2),19:30,00:10,04h 40m,314.0,32 Seats available,3.9,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
NueGo,Electric A/C Seater (2+2),21:00,01:40,04h 40m,332.0,34 Seats available,4.4,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
NueGo,Electric A/C Seater (2+2),23:30,04:10,04h 40m,314.0,33 Seats available,4.7,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9256,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:00,21:00,06h 00m,656.0,29 Seats available,4.0,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 6237,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,21:45,06h 15m,439.0,28 Seats available,2.1,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 50144,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,23:00,06h 30m,439.0,34 Seats available,3.0,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 6018,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:15,00:15,07h 00m,439.0,34 Seats available,3.6,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 6010,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,02:30,06h 30m,439.0,34 Seats available,3.7,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 6240,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:00,04:00,07h 00m,412.0,37 Seats available,3.5,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 6205,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,03:30,06h 00m,439.0,31 Seats available,3.2,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 5281,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:50,03:00,05h 10m,439.0,33 Seats available,3.8,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 6073,INDRA(A.C. Seater),22:00,03:00,05h 00m,526.0,30 Seats available,3.4,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 50181,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,04:50,06h 35m,439.0,33 Seats available,3.6,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 93868,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,05:00,06h 30m,439.0,2 Seats available,3.6,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 6207,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,04:26,05h 56m,439.0,27 Seats available,4.0,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 6096,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,05:30,06h 45m,439.0,17 Seats available,3.4,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 6065,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,04:35,05h 50m,439.0,23 Seats available,4.2,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 5227,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,05:30,06h 45m,439.0,30 Seats available,4.4,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
Abhishek Bus,Scania Multi-Axle AC Semi Sleeper (2+2),22:05,06:20,08h 15m,499.0,18 Seats available,4.0,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
S R Travels,NON A/C Sleeper (2+1),22:20,05:30,07h 10m,1100.0,5 Seats available,3.0,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
Sri Vinayaka Travels,NON A/C Sleeper (2+1),22:30,04:45,06h 15m,799.0,13 Seats available,4.4,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
Sri Vinayaka Travels,NON A/C Seater/ Sleeper (2+1),22:30,05:00,06h 30m,499.0,17 Seats available,4.0,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
Maheswari Travels,Non A/C Seater / Sleeper (2+1),22:40,05:40,07h 00m,550.0,21 Seats available,4.3,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
APSRTC - 52935,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",15:45,20:45,05h 00m,307.0,35 Seats available,3.3,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
APSRTC - 52267,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",16:15,21:15,05h 00m,307.0,35 Seats available,2.9,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
